Record Number,Fiscal Year,Department Name,Sub-Unit of Department,EEO Category Name,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year
12764,2013,"Public Safety, Department of",,Administrative Support,Voluntary Resignation,Permanent (Merit),014,22,COMMUNICATIONS CENTER SPEC 2,07/05/2012,07/05/2012,false
12765,2013,"Revenue, Department of",,Administrative Support,Retirement,Permanent (Merit),014,20,SECRETARY 2,07/05/2012,07/05/2012,false
12766,2013,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),014,26,CLINICAL DIETITIAN,07/05/2012,07/05/2012,false
12767,2013,Auditor of State,,Professional,Retirement,Permanent (Nonmerit),000,35,ASST AUDITOR 6,07/06/2012,07/19/2012,false
12769,2013,"Human Services, Department of",Woodward,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),000,24,RESIDENT TREATMENT SUPERVISOR,07/06/2012,07/19/2012,false
12771,2013,Iowa Veterans Home,,Professional,Involuntary Dismissal,Permanent (Merit),014,30,REGISTERED NURSE,07/06/2012,07/19/2012,false
12772,2013,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Voluntary Resignation,Probationary (Merit),014,23,CORRECTIONAL OFFICER,07/07/2012,07/19/2012,false
12773,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,07/07/2012,07/19/2012,false
12774,2013,Agriculture and Land Stewardship,,Technician,Retirement,Permanent (Merit),014,18,SOIL CONSERVATION TECHNICIAN 2,07/09/2012,07/19/2012,false
12775,2013,"Education, Department of",,Professional,Voluntary Resignation,Permanent (Nonmerit),000,32,EDUCATION PROGRAM CONSULTANT,07/09/2012,07/19/2012,false
12776,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,07/09/2012,07/19/2012,false
12777,2013,"Corrections, Department of",Mt Pleasant,Professional,Disability/Medical,Permanent (Merit),014,28,ACTIVITIES SPECIALIST 2,07/10/2012,07/19/2012,false
12778,2013,"Corrections, Department of",Fort Dodge,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/10/2012,07/19/2012,false
12779,2013,"Human Services, Department of",Field Operations,Technician,Involuntary Dismissal,Probationary (Merit),009,24,INCOME MAINT WORKER 2,07/10/2012,07/19/2012,false
12780,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/10/2012,07/19/2012,false
12781,2013,"Corrections, Department of",Oakdale,Protective Services - Sworn,Involuntary Dismissal,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/12/2012,07/19/2012,false
12782,2013,"Human Services, Department of",Field Operations,Professional,Retirement,Permanent (Merit),009,25,SOCIAL WORKER 2,07/12/2012,07/19/2012,false
12783,2013,"Human Services, Department of",Woodward,Service/Maintenance,Retirement,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/12/2012,07/19/2012,false
12785,2013,Law Enforcement Academy,,Professional,Voluntary Resignation,Permanent (Merit),000,30,LAW ENFORCEMENT INSTRUCTOR,07/12/2012,07/19/2012,false
12786,2013,"Natural Resources, Department of",,Professional,Voluntary Resignation,Permanent (Merit),000,31,FACILITIES ENGINEER 1,07/12/2012,07/19/2012,false
12787,2013,"Public Health, Department of",,Administrative Support,Involuntary Layoff,Permanent (Merit),014,15,TYPIST-ADVANCED,07/12/2012,07/19/2012,false
12788,2013,"Administrative Services, Department of",,Official/Administrator,Voluntary Resignation,Permanent (Nonmerit),000,41,PUBLIC SERVICE EXECUTIVE 5,07/13/2012,07/19/2012,false
12789,2013,Civil Rights Commission,,Professional,Retirement,Permanent (Merit),009,27,CIVIL RIGHTS SPECIALIST,07/13/2012,07/19/2012,false
12790,2013,"Education, Department of",,Professional,Voluntary Resignation,Permanent (Nonmerit),000,32,EDUCATION PROGRAM CONSULTANT,07/13/2012,07/19/2012,false
12791,2013,"Education, Department of",,Professional,Voluntary Resignation,Permanent (Nonmerit),000,32,EDUCATION PROGRAM CONSULTANT,07/13/2012,07/19/2012,false
12792,2013,"Human Services, Department of",Field Operations,Professional,Voluntary Resignation,Permanent (Merit),009,25,SOCIAL WORKER 2,07/13/2012,07/19/2012,false
12793,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,07/13/2012,07/19/2012,false
12794,2013,"Human Services, Department of",Woodward,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/13/2012,07/19/2012,false
12795,2013,"Revenue, Department of",,Professional,Voluntary Resignation,Permanent (Merit),014,25,REVENUE EXAMINER 2,07/13/2012,07/19/2012,false
12796,2013,Treasurer of State,,Professional,Voluntary Resignation,Permanent (Nonmerit),000,21,ADMIN ASSISTANT 1,07/13/2012,07/19/2012,false
12797,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Involuntary Dismissal,Probationary (Merit),014,19,RESIDENT TREATMENT WORKER,07/14/2012,07/19/2012,false
12798,2013,IPERS,,Professional,Retirement,Permanent (Merit),000,40,PENSION SYSTEM ATTORNEY,07/16/2012,07/19/2012,false
12799,2013,"Public Safety, Department of",,Professional,Retirement,Permanent (Merit),009,32,CRIMINALIST,07/16/2012,07/19/2012,false
12800,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/16/2012,07/19/2012,false
12801,2013,"Commerce, Department of",Utilities Division,Professional,Retirement,Permanent (Merit),014,33,SENIOR UTILITY ANALYST,07/17/2012,07/19/2012,false
12802,2013,"Human Services, Department of",Woodward,Professional,Voluntary Resignation,Permanent (Merit),014,23,PSYCHOLOGY ASSISTANT,07/17/2012,07/19/2012,false
12803,2013,"Human Services, Department of",Field Operations,Professional,Involuntary Dismissal,Probationary (Merit),014,19,SOCIAL WORK ASSOCIATE,07/18/2012,07/19/2012,false
12805,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/18/2012,07/19/2012,false
12806,2013,Agriculture and Land Stewardship,,Professional,Retirement,Permanent (Merit),009,27,ENVIRONMENTAL SPECIALIST,07/19/2012,07/19/2012,false
12807,2013,Auditor of State,,Administrative Support,Voluntary Resignation,Permanent (Nonmerit),000,20,SECRETARY 2,07/19/2012,07/19/2012,false
12808,2013,"Commerce, Department of",Credit Union Division,Professional,Involuntary Dismissal,Permanent (Nonmerit),000,34(-9.0),CREDIT UNION EXAMINER,07/19/2012,07/19/2012,false
12809,2013,"Commerce, Department of",Utilities Division,Professional,Voluntary Resignation,Permanent (Merit),014,28,UTILITIES REGULATION INSPECTOR,07/19/2012,07/19/2012,false
12810,2013,"Corrections, Department of",Fort Madison,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/19/2012,07/19/2012,false
12811,2013,"Corrections, Department of",Anamosa,Protective Services - Sworn,Retirement,Permanent (Merit),014,25,SENIOR CORRECTIONAL OFFICER,07/19/2012,07/19/2012,false
12812,2013,"Aging, Iowa Department on",,Professional,Involuntary Dismissal,Probationary (Merit),014,29,PROGRAM PLANNER 3,07/19/2012,07/19/2012,false
12813,2013,"Human Services, Department of",General Administration,Official/Administrator,Retirement,Permanent (Merit),014,32,EXEC OFF 2,07/19/2012,07/19/2012,false
12814,2013,"Human Services, Department of",Clarinda,Professional,Retirement,Permanent (Merit),000,24,ADMIN ASSISTANT 2,07/19/2012,07/19/2012,false
12815,2013,"Human Services, Department of",Glenwood,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/19/2012,07/19/2012,false
12816,2013,"Human Services, Department of",Woodward,Professional,Involuntary Dismissal,Permanent (Merit),014,30,REGISTERED NURSE,07/19/2012,07/19/2012,false
12817,2013,"Inspections & Appeals, Department of",,Professional,Retirement,Permanent (Merit),014,38,ADMIN LAW JUDGE 2,07/19/2012,07/19/2012,false
12819,2013,"Management, Department of",,Professional,Retirement,Permanent (Merit),000,35(-3.0),FISCAL & POLICY ANALYST SENIOR,07/19/2012,07/19/2012,false
12820,2013,"Public Defense, Department of",,Professional,Retirement,Permanent (Merit),000,34,CONSTRUCTION/DESIGN ENGNR SR,07/19/2012,07/19/2012,false
12821,2013,Homeland Security and Emergency Management,,Professional,Voluntary Resignation,Permanent (Merit),014,27,DISASTER PROJECT SPECIALIST 1,07/19/2012,07/19/2012,false
12822,2013,"Revenue, Department of",,Official/Administrator,Retirement,Permanent (Merit),000,35,PUBLIC SERVICE EXECUTIVE 3,07/19/2012,07/19/2012,false
12825,2013,Secretary of State,,Professional,Involuntary Layoff,Permanent (Nonmerit),014,32,INFO TECH SPECIALIST 4,07/19/2012,07/19/2012,false
12826,2013,Secretary of State,,Professional,Involuntary Layoff,Permanent (Merit),014,24,ADMIN ASSISTANT 2,07/19/2012,07/19/2012,false
12824,2013,Secretary of State,,Administrative Support,Involuntary Layoff,Permanent (Merit),014,17,INFO TECH SUPPORT WORKER 2,07/19/2012,07/19/2012,false
12823,2013,Secretary of State,,Administrative Support,Retirement,Permanent (Merit),014,17,INFO TECH SUPPORT WORKER 2,07/19/2012,07/19/2012,false
12829,2013,Iowa Veterans Home,,Service/Maintenance,Involuntary Dismissal,Permanent (Merit),014,19,RESIDENT TREATMENT WORKER,07/19/2012,07/19/2012,false
12828,2013,Iowa Veterans Home,,Professional,Voluntary Resignation,Permanent (Merit),014,26,CLINICAL DIETITIAN,07/19/2012,07/19/2012,false
12827,2013,Iowa Veterans Home,,Professional,Retirement,Permanent (Merit),000,33,NURSE SUPERVISOR 2,07/19/2012,07/19/2012,false
12831,2013,"Corrections, Department of",Oakdale,Professional,Voluntary Resignation,Probationary (Merit),014,30,REGISTERED NURSE,07/20/2012,08/02/2012,false
12830,2013,"Corrections, Department of",Oakdale,Professional,Voluntary Resignation,Permanent (Nonmerit),000,55(-13.0),PHYSICIAN,07/20/2012,08/02/2012,false
12832,2013,"Corrections, Department of",Clarinda,Professional,Voluntary Resignation,Permanent (Merit),014,23,DRUG ABUSE COUNSELOR 2,07/20/2012,08/02/2012,false
12834,2013,Iowa Workforce Development,,Professional,Retirement,Permanent (Merit),014,32,INFO TECH SPECIALIST 4,07/20/2012,08/02/2012,false
12833,2013,Iowa Workforce Development,,Official/Administrator,Voluntary Resignation,Permanent (Merit),014,32,EXEC OFF 2,07/20/2012,08/02/2012,false
12835,2013,"Human Services, Department of",Field Operations,Technician,Voluntary Resignation,Permanent (Merit),009,24,INCOME MAINT WORKER 2,07/20/2012,08/02/2012,false
12836,2013,"Human Services, Department of",Toledo Juvenile Home,Professional,Voluntary Resignation,Permanent (Merit),000,27(-2.0),EDUCATOR,07/20/2012,08/02/2012,false
12838,2013,"Natural Resources, Department of",,Professional,Retirement,Permanent (Merit),009,28,NATURAL RESOURCES BIOLOGIST,07/20/2012,08/02/2012,false
12839,2013,Iowa Veterans Home,,Service/Maintenance,Voluntary Resignation,Permanent (Merit),014,13,FOOD SERVICE WORKER,07/20/2012,08/02/2012,false
12840,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Voluntary Resignation,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/22/2012,08/02/2012,false
12841,2013,"Corrections, Department of",Newton,Protective Services - Sworn,Retirement,Permanent (Merit),014,23,CORRECTIONAL OFFICER,07/22/2012,08/02/2012,false
