Record Number,Fiscal Year,Department Name,Sub-Unit of Department,Reason,Employee Status,Pay Plan,Pay Grade,Classification Title,Separation Date,Pay Period End Date,Current Fiscal Year,Separation Year,Recent Layoff,Voluntary/Involuntary,Employee Status Encoded,EEO_EEO Category Name_Administrative Support,EEO_EEO Category Name_Official/Administrator,EEO_EEO Category Name_Professional,EEO_EEO Category Name_Protective Services - Sworn,EEO_EEO Category Name_Service/Maintenance,EEO_EEO Category Name_Skilled Craft,EEO_EEO Category Name_Technician,EEO_EEO Category Name_nan
12663,2013,"Public Safety, Department of",Field Operations,Retirement,Permanent (Merit),000,35.0,PUBLIC SERVICE EXECUTIVE 3,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12664,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12666,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),009,25.0,MEDICAL TECHNOLOGIST,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12665,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,15.0,CENTRAL SUPPLY WORKER,2012-06-22,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12667,2013,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),000,31.0,NURSE SUPERVISOR 1,2012-06-22,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12668,2013,"Human Services, Department of",Glenwood,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-25,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12670,2013,"Natural Resources, Department of",Field Operations,Retirement,Permanent (Merit),017,28.0,PARK RANGER,2012-06-25,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12671,2013,"Public Safety, Department of",Field Operations,Retirement,Permanent (Nonmerit),007,79.0,TROOPER 3,2012-06-25,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12672,2013,"Corrections, Department of",Oakdale,Retirement,Permanent (Merit),014,26.0,LICENSED PRACTICAL NURSE,2012-06-26,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12673,2013,"Corrections, Department of",Clarinda,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-26,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12674,2013,"State Public Defender, Office of",Field Operations,Involuntary Dismissal,Permanent (Nonmerit),014,29.0,PUBLIC DEFENDER 1,2012-06-26,2012-07-05,False,2012,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12675,2013,"Corrections, Department of",Anamosa,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-27,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12676,2013,Iowa Workforce Development,Field Operations,Retirement,Permanent (Merit),014,19.0,WORD PROCESSOR 3,2012-06-27,2012-07-05,False,2012,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12677,2013,"Human Services, Department of",Woodward,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-27,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12678,2013,"Public Safety, Department of",Field Operations,Retirement,Permanent (Nonmerit),007,79.0,TROOPER 3,2012-06-27,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12679,2013,"Public Safety, Department of",Field Operations,Voluntary Resignation,Permanent (Nonmerit),007,29.0,TROOPER 2,2012-06-27,2012-07-05,False,2012,False,Involuntary,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12681,2013,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-27,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12680,2013,Iowa Veterans Home,Field Operations,Voluntary Resignation,Permanent (Merit),014,13.0,FOOD SERVICE WORKER,2012-06-27,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12682,2013,"Corrections, Department of",Anamosa,Retirement,Permanent (Merit),000,29.0,CORRECTIONAL SUPERVISOR 2,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12683,2013,"Corrections, Department of",Oakdale,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12684,2013,"Education, Department of",Field Operations,Retirement,Permanent (Nonmerit),000,43.0,PUBLIC SERVICE EXECUTIVE 6,2012-06-28,2012-07-05,False,2012,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12685,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12686,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),009,27.0,INCOME MAINT WORKER 4,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12687,2013,"Inspections & Appeals, Department of",Field Operations,Retirement,Permanent (Merit),014,31.0,HEALTH FACILITIES SURVEYOR,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12690,2013,Iowa Veterans Home,Field Operations,Death,Permanent (Merit),014,10.0,RESIDENT AIDE,2012-06-28,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12689,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),000,33.0,NURSE SUPERVISOR 2,2012-06-28,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12692,2013,"Administrative Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),000,21.0,VEHICLE FLEET SUPERVISOR,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12694,2013,"Administrative Services, Department of",Field Operations,Retirement,Permanent (Merit),000,21.0,CUSTODIAL SUPERVISOR,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12691,2013,"Administrative Services, Department of",Field Operations,Retirement,Permanent (Merit),014,32.0,EXEC OFF 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12693,2013,"Administrative Services, Department of",Field Operations,Retirement,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12695,2013,"Administrative Services, Department of",Field Operations,Retirement,Permanent (Merit),014,13.0,CUSTODIAL WORKER,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12696,2013,Agriculture and Land Stewardship,Field Operations,Voluntary Resignation,Permanent (Merit),000,32.0,PUBLIC SERVICE EXECUTIVE 2,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12697,2013,Attorney General,Field Operations,Retirement,Permanent (Nonmerit),000,39.0,ASST ATTORNEY GENERAL 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12698,2013,Attorney General,Consumer Advocate,Retirement,Permanent (Merit),000,42.0,UTILITY ATTORNEY 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12699,2013,"Corrections, Department of",Central Office,Retirement,Permanent (Merit),000,38.0,EXEC OFF 4,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12700,2013,"Corrections, Department of",Anamosa,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12701,2013,"Corrections, Department of",Oakdale,Retirement,Permanent (Merit),009,28.0,CORRECTIONAL COUNSELOR,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12702,2013,"Corrections, Department of",Oakdale,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12703,2013,Economic Development Authority,Field Operations,Retirement,Permanent (Nonmerit),000,36.0,ADMIN ASSISTANT 6,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12704,2013,Economic Development Authority,Field Operations,Retirement,Permanent (Nonmerit),000,41.0,PUBLIC SERVICE EXECUTIVE 5,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12706,2013,"Education, Department of",Field Operations,Retirement,Permanent (Merit),014,20.0,SECRETARY 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12707,2013,"Education, Department of",Field Operations,Retirement,Permanent (Nonmerit),000,32.0,EDUCATION PROGRAM CONSULTANT,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12705,2013,"Education, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,17.0,SECRETARY 1,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12708,2013,"Education, Department of",Field Operations,Retirement,Permanent (Nonmerit),000,40.0,EXEC DIR/ED EXAMINERS BOARD,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12709,2013,"Education, Department of",Vocational Rehabilitation,Retirement,Permanent (Nonmerit),009,29.0,DISABILITY EXAMINER SPECIALIST,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12710,2013,"Education, Department of",Vocational Rehabilitation,Retirement,Permanent (Nonmerit),000,38.0,PUBLIC SERVICE EXECUTIVE 4,2012-06-29,2012-07-05,False,2012,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12712,2013,Iowa Workforce Development,Field Operations,Retirement,Permanent (Merit),000,26.0,WORKFORCE DEVELOPMENT SUPV,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12711,2013,Iowa Workforce Development,Field Operations,Retirement,Permanent (Merit),014,24.0,WORKFORCE ADVISOR,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12715,2013,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,30.0,MANAGEMENT ANALYST 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12713,2013,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,29.0,STATISTICAL RESEARCH ANALYST 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12716,2013,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,29.0,PROGRAM PLANNER 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12714,2013,"Human Services, Department of",General Administration,Retirement,Permanent (Merit),014,29.0,STATISTICAL RESEARCH ANALYST 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12719,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),014,24.0,ADMIN ASSISTANT 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12718,2013,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,15.0,TYPIST-ADVANCED,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12717,2013,"Human Services, Department of",Field Operations,Retirement,Permanent (Merit),009,25.0,SOCIAL WORKER 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12720,2013,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),000,24.0,TRAINING SPECIALIST 1,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12721,2013,"Human Services, Department of",Woodward,Involuntary Dismissal,Permanent (Merit),014,26.0,LICENSED PRACTICAL NURSE,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12722,2013,"Human Services, Department of",Woodward,Involuntary Dismissal,Probationary (Merit),014,13.0,CUSTODIAL WORKER,2012-06-29,2012-07-05,False,2012,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12725,2013,"Inspections & Appeals, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,16.0,WORD PROCESSOR 2,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12724,2013,"Inspections & Appeals, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,16.0,WORD PROCESSOR 2,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12723,2013,"Inspections & Appeals, Department of",Field Operations,Involuntary Layoff,Permanent (Merit),014,16.0,WORD PROCESSOR 2,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12726,2013,"Inspections & Appeals, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,32.0,COMPLIANCE OFFICER 2,2012-06-29,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12733,2013,"Natural Resources, Department of",Field Operations,Retirement,Permanent (Merit),014,29.0,PURCHASING AGENT 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12734,2013,"Natural Resources, Department of",Field Operations,Retirement,Permanent (Merit),017,28.0,CONSERVATION OFFICER,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12735,2013,"Public Safety, Department of",Field Operations,Retirement,Permanent (Merit),014,35.0,EXEC OFF 3,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12736,2013,"Revenue, Department of",Field Operations,Retirement,Permanent (Merit),014,27.0,REVENUE AUDITOR 2,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12737,2013,"Revenue, Department of",Field Operations,Retirement,Permanent (Merit),014,35.0,INFO TECH SPECIALIST 5,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12738,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,31.0,NURSE CLINICIAN,2012-06-29,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12739,2013,"Corrections, Department of",Fort Madison,Retirement,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-06-30,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12741,2013,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-30,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12740,2013,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-06-30,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12743,2013,Iowa Finance Authority,Field Operations,Retirement,Permanent (Nonmerit),000,38.0,PUBLIC SERVICE EXECUTIVE 4,2012-07-02,2012-07-05,False,2012,False,Voluntary,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12744,2013,Iowa Workforce Development,Field Operations,Voluntary Resignation,Permanent (Merit),014,24.0,ADMIN ASSISTANT 2,2012-07-02,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12745,2013,"Human Services, Department of",Glenwood,Retirement,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-02,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12746,2013,"Human Services, Department of",Glenwood,Involuntary Dismissal,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-02,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12747,2013,"Public Health, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,26.0,BUDGET ANALYST 2,2012-07-02,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12748,2013,Iowa Veterans Home,Field Operations,Involuntary Dismissal,Probationary (Merit),014,13.0,FOOD SERVICE WORKER,2012-07-02,2012-07-05,False,2012,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12749,2013,Attorney General,Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,34.0,ASST ATTORNEY GENERAL 2,2012-07-03,2012-07-05,False,2012,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12750,2013,"Human Services, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,19.0,SOCIAL WORK ASSOCIATE,2012-07-03,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12751,2013,"Human Services, Department of",Glenwood,Involuntary Dismissal,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-03,2012-07-05,False,2012,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12753,2013,Iowa Veterans Home,Field Operations,Voluntary Resignation,Probationary (Merit),014,26.0,LICENSED PRACTICAL NURSE,2012-07-03,2012-07-05,False,2012,False,Involuntary,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12752,2013,Iowa Veterans Home,Field Operations,Disability/Medical,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-03,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12754,2013,"Human Services, Department of",Glenwood,Disability/Medical,Permanent (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-04,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12755,2013,"Corrections, Department of",Oakdale,Voluntary Resignation,Permanent (Merit),014,23.0,CORRECTIONAL OFFICER,2012-07-05,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12756,2013,"Corrections, Department of",Newton,Voluntary Resignation,Probationary (Merit),014,23.0,CORRECTIONAL OFFICER,2012-07-05,2012-07-05,False,2012,False,Involuntary,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12757,2013,"Education, Department of",Field Operations,Voluntary Resignation,Permanent (Nonmerit),000,38.0,ATTORNEY 3,2012-07-05,2012-07-05,False,2012,False,Involuntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12758,2013,"Human Rights, Department of",Field Operations,Retirement,Permanent (Merit),014,26.0,ACCOUNTANT 2,2012-07-05,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12759,2013,"Human Services, Department of",Woodward,Voluntary Resignation,Permanent (Merit),014,32.0,PHYSICAL THERAPIST 1,2012-07-05,2012-07-05,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12760,2013,"Inspections & Appeals, Department of",Racing Commission,Retirement,Permanent (Merit),014,27.0,GAMING REPRESENTATIVE 2,2012-07-05,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12762,2013,Law Enforcement Academy,Field Operations,Voluntary Resignation,Permanent (Merit),014,17.0,SECRETARY 1,2012-07-05,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12763,2013,"Public Defense, Department of",Field Operations,Retirement,Permanent (Merit),014,32.0,EXEC OFF 2,2012-07-05,2012-07-05,False,2012,False,Voluntary,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12764,2013,"Public Safety, Department of",Field Operations,Voluntary Resignation,Permanent (Merit),014,22.0,COMMUNICATIONS CENTER SPEC 2,2012-07-05,2012-07-05,False,2012,False,Involuntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12765,2013,"Revenue, Department of",Field Operations,Retirement,Permanent (Merit),014,20.0,SECRETARY 2,2012-07-05,2012-07-05,False,2012,False,Voluntary,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12766,2013,Iowa Veterans Home,Field Operations,Retirement,Permanent (Merit),014,26.0,CLINICAL DIETITIAN,2012-07-05,2012-07-05,False,2012,False,Voluntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12767,2013,Auditor of State,Field Operations,Retirement,Permanent (Nonmerit),000,35.0,ASST AUDITOR 6,2012-07-06,2012-07-19,False,2012,False,Voluntary,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12769,2013,"Human Services, Department of",Woodward,Involuntary Dismissal,Permanent (Merit),000,24.0,RESIDENT TREATMENT SUPERVISOR,2012-07-06,2012-07-19,False,2012,False,Involuntary,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12771,2013,Iowa Veterans Home,Field Operations,Involuntary Dismissal,Permanent (Merit),014,30.0,REGISTERED NURSE,2012-07-06,2012-07-19,False,2012,False,Involuntary,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
12772,2013,"Corrections, Department of",Fort Madison,Voluntary Resignation,Probationary (Merit),014,23.0,CORRECTIONAL OFFICER,2012-07-07,2012-07-19,False,2012,False,Involuntary,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12773,2013,"Human Services, Department of",Glenwood,Involuntary Dismissal,Probationary (Merit),014,19.0,RESIDENT TREATMENT WORKER,2012-07-07,2012-07-19,False,2012,False,Involuntary,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
